AssetTag,ToolKind,Status,StatusName,Description,Family,Component,DieGeneration,Customer,CavityCount,MacolaParts,Cavities,TotalShots,GoodShots,ShotLifePlanned,OverPlannedLife,Restated,Vendor,Acquired,Source,Note
DM0077,DieMold,W,Waiting for Approval,"6MA C/H #2,3,4 die ""B""",6MA,CamHolder,B,Honda Anna Eng Plnt,6,"653-090,654-090,655-090,658-090,659-090,660-090",653-090 6MAA HOLDCOMP NO2 INTAKE (DC); 654-090 6MAA HOLDCOMP NO3 INTAKE (DC); 655-090 6MAA HOLDCOMP NO4 INTAKE (DC); 658-090 6MAA HOLDCOMP NO2 EXHAUST (DC); 659-090 6MAA HOLDCOMP NO3 EXHAUST (DC); 660-090 6MAA HOLDCOMP NO4 EXHAUST (DC),307622,300853,0,YES,,Accu-Die,2022-01-19,asset+report,
DM0078,DieMold,W,Waiting for Approval,"6FBA Oil Pan die ""B""",6FB,OilPan,B,Honda,1,646-090,646-090 6FB Oil Pan,182644,166667,100000,YES,,Mangas Tool,2022-01-19,asset+report,
DM0079,DieMold,W,Waiting for Approval,"5BA R/S #5 die ""K""",5BA,RockerShaft,K,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,329191,314930,0,YES,,Accu-Die,2022-01-19,asset+report,
DM0080,DieMold,W,Waiting for Approval,"6NA Fuel Pump die ""B""",6NA,FuelPump,B,Honda Anna Eng Plnt,1,637-090,637-090 6NA FUEL PUMP,165489,155272,0,YES,,Davis Tool,2022-03-10,asset+report,
DM0081,DieMold,W,Waiting for Approval,"5GO R/S 1,2,3 Die L",5GO,RockerShaft,L,Honda Anna Eng Plnt,3,"578-090,579-090,580-090",578-090 5GO R/S #1    DC; 579-090 5GO R/S #2    DC; 580-090 5GO R/S #3    DC,271799,262275,0,YES,,Accu-Die,2022-08-18,asset+report,
DM0082,DieMold,W,Waiting for Approval,"64a oil pan die ""D""",64A,OilPan,D,Honda,1,648-090,648-090 64A Oil Pan,320673,294869,0,YES,,Meiwa Mold,2022-08-25,asset+report,
DM0083,DieMold,W,Waiting for Approval,"64A oil pan die ""E'",64A,OilPan,E,Honda,1,648-090,648-090 64A Oil Pan,270959,250249,100000,YES,,Davis Tool,2022-08-25,asset+report,
DM0084,DieMold,W,Waiting for Approval,6MDW Intake Manifold Plate Die A,6MD,IntakeManifold,A,Honda Anna Eng Plnt,1,674-090,674-090 6MD Intake Manifold,419918,390265,0,YES,,Metts,2022-09-26,asset+report,
DM0085,DieMold,W,Waiting for Approval,5BS Rocker Shaft # L,5BA,RockerShaft,L,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,171864,166218,0,YES,,Accu-Die,2022-11-10,asset+report,
DM0086,DieMold,W,Waiting for Approval,5BA Rocker Shaft #M,5BA,RockerShaft,M,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,192332,186005,0,YES,,Accu-Die,2022-11-10,asset+report,
DM0087,TrimDie,,Not in shots report,6MDW Intake Manifold trim #1,6MD,IntakeManifold,,,,,,,,,,6MDW  manifold trim #1,Pederson Tool,2022-12-19,asset only,trim die - the shots report covers die-cast dies only
DM0088,TrimDie,,Not in shots report,5GO Rocker Shaft trim #1 (4 cavity),5GO,RockerShaft,,,,,,,,,,4 cavity 5GO trim # 1,Pederson Tool,2022-12-20,asset only,trim die - the shots report covers die-cast dies only
DM0089,DieMold,W,Waiting for Approval,RPY Rocker Shaft #1 die J,RPY,RockerShaft,J,Honda,1,135-090,135-090 RPY Holder Comp No 1 Rkr Shaft,143576,137274,0,YES,RPY #1 J,Davis Tool,2023-01-25,asset+report,
DM0090,DieMold,W,Waiting for Approval,"RPY Rocker Shaft #2,3,4 die J",RPY,RockerShaft,J,Honda,3,"136-090,137-090,138-090",136-090 RPY Holder Comp No 2 Rkr Shaft; 137-090 RPY Holder Comp No 3 Rkr Shaft; 138-090 RPY Holder Comp No 4 Rkr Shaft,159358,152488,0,YES,"Rpy #2,3,4 J",Davis Tool,2023-01-25,asset+report,
DM0091,DieMold,W,Waiting for Approval,59B/5PA Fuel Pump V,59B/5PA,FuelPump,V,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,89420,84873,0,YES,,Davis Tool,2023-01-25,asset+report,combo die - 2 report entries summed
