AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0094,5BA rocker shaft #L,W,a,140-090,5BAA Holder Comp #5 R/S
DM0095,5J6-1 Oil Pan die L,W,a,155-090,5J6-1 OIL PAN     DC
DM0096,6VJ Fuel Pump A,W,a,638-090,6VJ Fuel Pump
DM0097,5J6-1 Oil Pan die L,W,a,155-090,5J6-1 OIL PAN     DC
DM0098,5Ba #5 R/S M,W,a,140-090,5BAA Holder Comp #5 R/S
DM0099,6B2 Rocker Shaft #5 die F,W,a,629-090,6B2 HOLDER COMP NO5 R/S (DC)
DM0100,RPY Cam Holder IN.1-4 G,W,a,120-090,RPY Holder Comp No 1 In Cam
DM0100,RPY Cam Holder IN.1-4 G,W,b,121-090,RPY Holder Comp No 2 In Cam
DM0100,RPY Cam Holder IN.1-4 G,W,c,122-090,RPY Holder Comp No 3 In Cam
DM0100,RPY Cam Holder IN.1-4 G,W,d,123-090,RPY Holder Comp No 4 In Cam
DM0101,"RPY Cam holder 5,5,6 G",W,a,124-090,RPY Holder Comp No 5 in Cam
DM0101,"RPY Cam holder 5,5,6 G",W,b,129-090,RPY Holder Comp No 5 Ex Cam
DM0101,"RPY Cam holder 5,5,6 G",W,c,130-090,RPY Holder Comp No 6 Ex Cam
DM0102,6MA Oil Pan D,W,a,664-090,6MA Oil Pan (69F Finished)
DM0103,6MA Oil pan E,W,a,664-090,6MA Oil Pan (69F Finished)
DM0104,64A oil Pan F,W,a,648-090,64A Oil Pan
DM0105,6Na fuel pump C,W,a,637-090,6NA FUEL PUMP
DM0106,59B/5PA Fuel Pump die V,W,a,143-090,5PA Fuel Pump
DM0106,59B/5PA Fuel Pump die V,W,b,152-090,59B Base Comp Fuel Pump
DM0107,59B Cam holder In 1/5 Ex 1/5 M,W,a,187-090,59B In Cam No 1 MPP
DM0107,59B Cam holder In 1/5 Ex 1/5 M,W,b,191-090,59B In Cam No 5 MPP
DM0107,59B Cam holder In 1/5 Ex 1/5 M,W,c,192-090,59B In Cam Ex 1 MPP
DM0107,59B Cam holder In 1/5 Ex 1/5 M,W,d,196-090,59B In Cam Ex 5 MPP
DM0108,"59B Cam Holder #2,3,4 die M",W,a,188-090,59B In Cam No 2 MPP
DM0108,"59B Cam Holder #2,3,4 die M",W,b,189-090,59B In Cam No 3 MPP
DM0108,"59B Cam Holder #2,3,4 die M",W,c,190-090,59B In Cam No 4 MPP
DM0108,"59B Cam Holder #2,3,4 die M",W,d,193-090,59B In Cam Ex 2 MPP
DM0108,"59B Cam Holder #2,3,4 die M",W,e,194-090,59B In Cam Ex 3 MPP
DM0108,"59B Cam Holder #2,3,4 die M",W,f,195-090,59B In Cam Ex 4 MPP
