Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
155,11221-59B-0000,"PLATE, BAFFLE",5K8 Components,0,1,NULL,NULL,NULL,NULL
154,19517-PD6-3000,"JOINT, TUBE",5K8 Components,0,1,NULL,NULL,NULL,NULL
150,90009-R70-A000,"BOLT PLUG, 14MM",5K8 Components,0,1,NULL,NULL,NULL,NULL
166,90015-PH1-0130,M22 Stud / Oil Filter Holder,5K8 Components,0,1,NULL,NULL,NULL
152,90703-59B-0000,"DOWEL PIN, 18X13",5K8 Components,0,1,NULL,NULL,NULL,NULL
165,91301-RNAA-A001,O-Ring,5K8 Components,0,1,NULL,NULL,NULL,NULL
151,94109-14000,"WASHER, PLUG DRAIN 14MM",5K8 Components,0,1,NULL,NULL,NULL,NULL
153,94301-12160,"DOWEL PIN, 12X16",5K8 Components,0,1,NULL,NULL,NULL,NULL
190,1120A-5PA,"PAN, OIL",5PA Components,0,0,NULL,NULL,NULL,NULL
187,12270-5PA,Fuel Pump Raw,5PA Components,0,0,1.430,Pound,NULL,NULL
372,12270-6NAA,"6NA Fuel Pump, RAW",5PA Components,0,0,1.430,Pound,NULL
390,12270-6VJA,"6VJ Fuel Pump, RAW",5PA Components,0,0,1.430,Pound,NULL
192,15123-PCX-0030-H1,"DOWEL PIN, 18X13",5PA Components,0,1,NULL,NULL,NULL,NULL
191,91301-RNA-A020-M2,"O-RING, 20X2.3",5PA Components,0,1,NULL,NULL,NULL
300,11200-64AA,"PAN, OIL",64A Components,0,1,NULL,NULL,NULL
301,11221-64AA-A010,"PLATE A, BAFFLE",64A Components,0,1,NULL,NULL,NULL
302,11222-64AA-A001,"PLATE B, BAFFLE",64A Components,0,1,NULL,NULL,NULL
303,95701-06020-08,"FLANGE BOLT, 6X20",64A Components,0,1,NULL,NULL,NULL
432,12270-66V,NULL,66V Components,0,0,1.000,Pound,NULL,US
434,12270-66VA,66V Fuel Pump,6B2 Components,0,0,1.000,Pound,NULL,NULL
243,12270-6B2,Fuel Pump Raw,6B2 Components,0,0,NULL,NULL,NULL,NULL
244,92900-06050-0B,6x50 Stud Bolt,6B2 Components,0,1,NULL,NULL,NULL,NULL
276,11200-5WJ-A000,5WJ OIL PAN RAW,6C2/6MA Components,0,1,NULL,NULL,NULL,NULL
275,11200-6C1-A000,6C1 OIL PAN RAW,6C2/6MA Components,0,1,NULL,NULL,NULL,NULL
370,11200-6MAA-J010,6MA OIL PAN (RAW),6C2/6MA Components,0,1,NULL,NULL,0,US
