Line	Task	Event	EventID	EventTrigger	TriggerArg1	TriggerArg2	EventServer	EventAccessPath	EventItem	ReactOnStartup	Step	Action	Kind	ActionServer	ActionAccessPath	ActionItem	ScriptID	Active
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	500	[BEGIN] Process Next Part	SCRIPT	NULL	NULL	NULL	212	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	510	Read TransInProc	READ	TOP Server		5G0_A1.5G0_A1.TransInProc	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	520	Read Part Complete	READ	TOP Server		5G0_A1.5G0_A1.PartComplete	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	540	Check Next Part Pending	SCRIPT	NULL	NULL	NULL	213	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	550	Set Part Complete	WRITE	TOP Server		5G0_A1.5G0_A1.PartComplete	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	599	[END] Process Next Part	SCRIPT	NULL	NULL	NULL	214	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	100	Read Serial Number	READ	TOP Server		5G0_A1.5G0_A1.PartSN	NULL	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	130	Read Hardware Interlock Enforced	READ	TOP Server		5G0_A1.5G0_A1.HardwareInterlockEnforced	NULL	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	200	Process Part	SCRIPT	NULL	NULL	NULL	215	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1000	Set Part Valid	WRITE	TOP Server		5G0_A1.5G0_A1.PartValid	NULL	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1010	Skip To Write Container Quantity	SCRIPT	NULL	NULL	NULL	216	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1020	Set Alarm Type	WRITE	TOP Server		5G0_A1.5G0_A1.MESAlarmType	NULL	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1030	Set Alarm Message	WRITE	TOP Server		5G0_A1.5G0_A1.MESAlarmText	NULL	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1040	Write Container Quantity	WRITE	TOP Server		5G0_A1.5G0_A1.ContainerCount	NULL	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1050	Write Part Type	WRITE	TOP Server		5G0_A1.5G0_A1.PartType	NULL	1
